modelo,configuracion,fit_time_s,predict_time_s,auc,pos_recall,pos_precision,pos_f1
GaussianNB,optimized_partial_fit,0.05863642692565918,0.020631074905395508,0.8320647345631691,0.5625,0.32739938080495357,0.41389432485322897
GaussianNB,base_fit,0.06951355934143066,0.023253679275512695,0.8320647345631691,0.5625,0.32739938080495357,0.41389432485322897
KNN,base_brute,0.023173809051513672,4.5783607959747314,0.7421554206880338,0.19747340425531915,0.4729299363057325,0.27861163227016883
KNN,optimized_ball_tree,0.3267993927001953,275.8110120296478,0.7418219961413623,0.19780585106382978,0.471847739888977,0.2787538065120637
KNN,optimized_kd_tree,0.4396169185638428,19.751791954040527,0.7416468701738527,0.19780585106382978,0.471847739888977,0.2787538065120637
Logistic_L1,base_liblinear,5.636004447937012,0.004003286361694336,0.8504019881383182,0.1605718085106383,0.6113924050632912,0.25434439178515006
Logistic_L1,optimized_saga,14.195582628250122,0.003787517547607422,0.8504045452996619,0.1605718085106383,0.6113924050632912,0.25434439178515006
Logistic_L2,base_lbfgs,0.22223567962646484,0.005147695541381836,0.8504440902560467,0.16023936170212766,0.610126582278481,0.2538177988414955
Logistic_L2,optimized_saga,13.143645524978638,0.00591588020324707,0.850401766464889,0.1605718085106383,0.6106194690265486,0.2542774414319558
SVM_approx,SGDClassifier_hinge,0.40871214866638184,0.007737636566162109,0.7728104769132824,0.07546542553191489,0.6102150537634409,0.13431952662721894
SVM_approx,LinearSVC,0.47460103034973145,0.0029931068420410156,0.8567013769783404,0.11236702127659574,0.6003552397868561,0.1893027163259591
SVM_approx,RFF_LinearSVC,8.277994394302368,0.5080780982971191,0.7573484702189982,0.0,0.0,0.0
XGBoost,optimized_hist_earlystop,0.9353625774383545,0.038216352462768555,0.8536987351694143,0.7190824468085106,0.22797217537942666,0.346190781049936
XGBoost,optimized_hist,1.0355842113494873,0.03855419158935547,0.8563390517583389,0.7273936170212766,0.22949444094818544,0.3489076702280338
XGBoost,base_exact,8.624936580657959,0.03896379470825195,0.8588177723758426,0.7367021276595744,0.22798353909465022,0.34820867379006915
