threshold,auc,ap,f1,f_beta,recall,precision,bal_acc,variant,model,train_time_sec
0.5,0.8557229119889004,0.376018022145767,0.3962677863307674,0.49977641271858597,0.6051581647192933,0.29458278421308176,0.7506817951028035,smote,logit_cal,237.85054898262024
0.5,0.8664045045722597,0.3806465667682286,0.4274733798744799,0.43011210444160636,0.43188942718723283,0.4231467262320257,0.694859208092606,smote,lgbm_cal,73.02037048339844
0.5,0.8604429064180596,0.3611146218750792,0.4191463278725064,0.48217948717948717,0.5359076660017099,0.34416178623718885,0.7313807889723599,smote,xgb_cal,27.25920033454895
0.5,0.8654266531201527,0.3710797678583875,0.40671080349082156,0.39349560356373375,0.3851524650897692,0.43082562958240356,0.6743534977568624,smote,hgb_cal,65.11051154136658
0.5,0.8660022367651653,0.3841942461958408,0.4061661588831795,0.5187594377976537,0.6363636363636364,0.29827021972884527,0.764564827305943,smote,brf_cal,301.6202292442322
0.5,0.8543246145518065,0.37123002486875956,0.3765149926609352,0.4998997750506693,0.6396409233399829,0.2667736376062281,0.7568599178966453,adasyn,logit_cal,474.71691060066223
0.5,0.8680436955871511,0.3665729405448628,0.42310115505775286,0.4275729364158578,0.4306070105443146,0.4158524838310169,0.693641363246071,adasyn,lgbm_cal,58.688069343566895
0.5,0.857515239609995,0.34083944000754735,0.4069329314242653,0.4768873637464675,0.5386149900256484,0.32698961937716264,0.7296063254102441,adasyn,xgb_cal,26.91831398010254
0.5,0.8661257196733357,0.3629375879609672,0.4023650697392359,0.3874905098405653,0.37817041892277004,0.42986718496922577,0.6711227265563616,adasyn,hgb_cal,65.14986634254456
0.5,0.8648252542811514,0.3754063938266,0.3931601954229879,0.5166937010002703,0.6536050156739812,0.28113508212797256,0.7669496777253375,adasyn,brf_cal,283.28914737701416
0.5,0.8549017018956944,0.37217517313571563,0.3793713659728659,0.5025899794587836,0.6414933029353092,0.2693228044986839,0.7584188769784627,borderline,logit_cal,474.1438715457916
0.5,0.8676886466878236,0.36616425869403363,0.42839607201309327,0.4396942717957332,0.4475634083784554,0.410803034266283,0.7007927878576565,borderline,lgbm_cal,63.84791851043701
0.5,0.8625713965387785,0.3459417347647089,0.4231640245875121,0.4954545454545455,0.5591336563123397,0.34038861901457323,0.7407637826988409,borderline,xgb_cal,29.7404363155365
0.5,0.8656621986780142,0.35728169480209127,0.41249446167478954,0.4036593825875824,0.39797663151895124,0.4281115879828326,0.6799491044757704,borderline,hgb_cal,70.26957130432129
0.5,0.8634391842136351,0.368993650141046,0.4026625249611715,0.5204294661497166,0.64648047876888,0.2923889927176645,0.7672095398682024,borderline,brf_cal,297.44338941574097
0.5,0.8554761948500331,0.3749488076399504,0.27321565617805066,0.2064623032311516,0.1775434596751211,0.5924869234427009,0.5843984776075591,original,logit_cal,560.3759019374847
0.5,0.8587305933190316,0.3921675390377939,0.2594546066659185,0.19289170699149008,0.164719293245939,0.6106708927628104,0.5785987517647302,original,lgbm_cal,49.185628175735474
0.5,0.8635219152826059,0.391904241196982,0.2605775688381464,0.19407763105242096,0.1658592191507552,0.6075156576200418,0.579092170045668,original,xgb_cal,19.672277212142944
0.5,0.863079122499972,0.3903106165676729,0.2596271905346579,0.19374937527071603,0.16571672841265317,0.5991756826378155,0.5788882472460686,original,hgb_cal,12.038186073303223
0.5,0.8597799140953412,0.37595810083146114,0.23040626078950396,0.16827488820899036,0.1426332288401254,0.5990424895272292,0.5678976190943906,original,brf_cal,70.55957555770874
