Model,AUC_mean,AUC_std,F1_mean,F1_std,Recall_mean,Precision_mean,Time_sec
LightGBM,0.8544464115868357,0.006665214386187181,0.40825010461096045,0.009678344529553384,0.5528663649119816,0.3238036035617715,32.13520526885986
GradientBoosting,0.8480730444327149,0.0067273451546796,0.39253844491558454,0.010635675398511495,0.5500163467376582,0.30524501841796886,372.28336095809937
RandomForest,0.8382981913905191,0.007061294924698432,0.36949691103627813,0.009024341202811334,0.558422123532601,0.2761092512515694,193.67777037620544
XGBoost,0.8555244854231694,0.00637924352251379,0.35129655510223784,0.008536568882110587,0.7107458985933683,0.23331962503305786,10.291549444198608
LogisticRegression,0.85679246632161,0.006277607189809386,0.33427422312969146,0.003987639359823341,0.7490752416981925,0.21514768230714928,21.675079107284546
