Métrica,Baseline (NB10),NB11 Avanzado,Δ (mejora),Δ %
F1,0.4014,0.38222474891036573,-0.01917525108963425,-4.78
F-beta (β=2),0.5294,0.5151190111349474,-0.01428098886505258,-2.7
Recall,0.6722,0.6705452127659575,-0.001654787234042554,-0.25
Precision,0.2862,0.26729393055923667,-0.01890606944076334,-6.61
AUC,0.8656,0.858609719987191,-0.0069902800128089915,-0.81
