,0
RevolvingUtilizationOfUnsecuredLines,0.7777511434962541
NumberOfTime30-59DaysPastDueNotWorse,0.6895356942710665
NumberOfTimes90DaysLate,0.6571035091721218
NumberOfTime60-89DaysPastDueNotWorse,0.6217354268217793
NumberOfDependents,0.5467740512525952
DebtRatio,0.5238072411561338
Unnamed: 0,0.5032373399852085
NumberRealEstateLoansOrLines,0.4626785031642664
NumberOfOpenCreditLinesAndLoans,0.45549964864666914
MonthlyIncome,0.4239614005125294
age,0.36474881505379797
